"ID","Age","online","Grow.Palous","Grow.PN","Grow.SW","Grow.NE","Grow.SE","Grow.MW","Grow.OUS","Gender","Years","Rent","Supplier.Moscow","Supplier.Pullman","Supplier.Dwell","Supplier.Iwell","Supplier.IDK","Supplier.other","compareuse","statement","awareness","recreation","education","wildlif","energy","flood","Task","Choice","C1.1.Cost","C2.1LargR","C2.1SmallR","C2.1WasteW","C2.1GroundW","C3.1ARebate","C3.1GRebate","C3.1GRestrict","C3.1WRestrict","C4.1AqInj","C4.1Resv","C4.1NoStore","Check","Id2"
418,8,1,0,0,0,0,0,1,0,2,3,1,0,0,0,0,1,0,1,5,1,6,7,7,6,6,2,1,5,0,1,0,0,0,0,0,1,0,0,1,1,418.2
419,9,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,1,0,1,4,2,6,7,7,7,7,2,0,5,0,1,0,0,0,0,1,0,1,0,0,1,419.2
420,8,1,0,1,0,0,0,0,0,2,6,1,1,0,0,0,0,0,1,6,1,4,6,6,4,6,2,1,0,0,0,0,1,1,0,0,0,0,1,0,1,420.2
1,8,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,2,1,1,3,4,3,3,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1.3
2,13,0,0,1,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,0,4,7,6,7,6,7,3,1,10,0,0,1,0,0,0,0,1,1,0,0,1,2.3
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,35,1,0,0,0,0,0,1,0,0,0,1,1,4.3
7,10,0,0,1,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,1,1,7.3
8,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,5,2,4,3,4,5,4,3,1,5,0,0,0,1,1,0,0,0,0,0,1,1,8.3
9,8,0,0,1,0,0,0,0,0,2,3,1,1,0,0,0,0,0,1,6,2,7,6,6,4,7,3,1,10,1,0,0,0,0,0,1,0,0,1,0,1,9.3
10,8,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,6,2,4,2,4,6,3,3,0,20,0,0,1,0,0,0,0,1,0,1,0,1,10.3
11,8,0,0,1,0,0,0,0,0,1,3,2,1,0,0,0,0,0,1,7,2,6,5,6,7,6,3,1,30,0,1,0,0,1,0,0,0,1,0,0,1,11.3
12,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,6,3,2,2,1,6,5,3,0,35,0,1,0,0,0,0,1,0,1,0,0,1,12.3
13,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,6,3,3,2,1,6,5,3,0,0,0,0,1,0,0,0,1,0,1,0,0,1,13.3
14,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,6,2,6,6,6,6,4,3,0,30,1,0,0,0,1,0,0,0,0,0,1,1,14.3
15,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,7,3,5,6,7,4,3,3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,15.3
16,8,0,0,0,0,0,0,0,1,1,5,1,1,0,0,0,0,0,1,3,1,1,3,1,7,7,3,0,0,1,0,0,0,0,1,0,0,0,0,1,1,16.3
18,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,5,2,6,5,6,6,5,3,1,0,0,1,0,0,0,0,0,1,0,1,0,1,18.3
19,8,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,6,2,2,2,3,6,7,3,0,30,0,0,1,0,0,1,0,0,0,1,0,1,19.3
20,13,0,0,1,0,0,0,0,0,1,5,2,0,0,1,0,0,0,1,7,4,2,1,2,5,5,3,0,5,0,1,0,0,1,0,0,0,0,1,0,1,20.3
21,10,0,0,0,1,0,0,0,0,1,6,2,0,0,0,0,1,0,1,6,4,3,3,3,4,3,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,21.3
22,9,0,0,1,0,0,0,0,0,2,3,2,0,1,0,0,0,0,1,5,2,0,0,0,0,0,3,1,15,0,1,0,0,0,0,0,1,1,0,0,1,22.3
24,14,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,1,3,2,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,1,24.3
25,13,0,0,1,0,0,0,1,0,1,7,2,0,1,0,0,0,0,1,0,2,7,7,7,7,7,3,0,35,1,0,0,0,0,0,0,1,0,0,1,1,25.3
26,13,0,1,0,0,0,0,0,0,1,7,2,0,1,0,0,0,0,1,0,1,7,6,7,7,6,3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,26.3
27,15,0,0,0,1,0,0,0,1,2,4,2,0,1,0,0,0,0,1,0,3,0,4,6,6,1,3,1,0,0,0,1,0,1,0,0,0,0,0,1,1,27.3
28,14,0,0,0,1,0,0,0,0,1,7,2,0,1,0,0,0,0,1,0,3,2,7,5,1,5,3,0,10,1,0,0,0,0,0,0,1,0,1,0,1,28.3
29,10,0,0,0,1,0,0,0,0,1,7,2,0,0,1,0,0,0,1,7,3,0,0,3,4,4,3,1,0,0,0,1,0,0,0,0,1,1,0,0,1,29.3
30,10,0,0,0,0,1,0,1,0,1,6,2,0,0,0,1,0,1,1,7,3,3,6,6,6,5,3,0,0,0,0,1,0,0,1,0,0,1,0,0,1,30.3
31,14,0,0,0,0,1,0,0,0,1,7,2,0,0,0,0,0,1,1,3,4,0,0,7,7,2,3,0,15,0,0,1,0,0,0,0,1,0,1,0,1,31.3
32,15,0,0,1,0,0,0,0,0,2,7,2,0,0,1,0,0,1,1,7,4,4,5,6,6,6,3,1,5,0,0,1,0,0,1,0,0,1,0,0,1,32.3
33,14,0,0,0,0,1,0,0,0,1,7,2,0,0,1,0,0,0,1,7,4,7,7,7,7,7,3,0,20,0,1,0,0,0,1,0,0,1,0,0,1,33.3
34,14,0,0,1,0,0,0,0,0,3,7,2,0,1,0,0,0,0,1,4,1,5,5,7,6,6,3,0,5,0,0,1,0,0,0,1,0,1,0,0,1,34.3
35,15,0,0,0,0,0,0,0,1,1,7,2,0,1,0,0,1,0,1,5,3,5,4,6,7,6,3,0,30,0,0,1,0,0,1,0,0,1,0,0,1,35.3
36,13,0,0,1,0,0,0,0,0,2,7,2,0,1,0,0,0,0,1,4,2,4,3,5,3,5,3,0,0,0,1,0,0,0,0,0,1,0,0,1,1,36.3
37,8,0,0,1,0,0,0,1,0,3,7,1,0,1,0,0,0,0,1,5,1,5,5,7,7,5,3,1,5,0,0,0,1,0,0,1,0,1,0,0,1,37.3
38,10,0,0,1,0,0,0,0,0,2,7,2,0,1,0,0,0,0,1,7,3,7,6,7,6,4,3,0,30,1,0,0,0,0,1,0,0,1,0,0,1,38.3
39,10,0,1,0,0,0,0,0,0,2,4,2,1,0,0,0,0,0,1,7,2,3,2,7,6,3,3,0,20,0,0,0,1,0,0,1,0,1,0,0,1,39.3
40,10,0,1,1,0,0,0,1,0,2,2,1,1,0,1,0,0,0,1,5,1,4,2,5,5,6,3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,40.3
41,9,0,0,0,0,0,0,1,0,2,3,1,1,0,0,0,0,0,1,7,1,4,5,7,5,6,3,1,0,0,0,1,0,0,1,0,0,0,1,0,1,41.3
42,15,0,0,0,0,1,0,0,0,2,7,2,1,0,0,0,0,0,1,7,3,0,6,7,7,6,3,0,20,1,0,0,0,0,0,0,1,1,0,0,1,42.3
43,9,0,1,0,0,0,0,0,0,2,7,2,1,0,0,0,0,0,1,7,2,5,7,7,7,5,3,0,0,0,0,0,1,0,1,0,0,0,1,0,1,43.3
44,8,0,0,1,0,0,0,0,0,1,3,1,0,1,0,0,0,0,1,7,2,3,3,6,5,6,3,0,15,0,0,0,1,0,0,0,1,1,0,0,1,44.3
45,15,0,0,0,0,0,0,1,0,2,7,1,1,0,0,1,0,0,1,7,3,4,5,6,0,6,3,1,30,0,0,0,1,0,0,0,1,1,0,0,1,45.3
46,13,0,0,0,0,1,0,0,0,2,6,2,1,0,0,0,0,0,1,7,3,0,6,2,7,2,3,0,25,0,0,1,0,0,0,1,0,0,0,1,1,46.3
47,9,0,0,0,0,0,1,0,0,3,4,1,0,1,0,0,0,0,1,7,3,1,1,5,3,3,3,0,0,1,0,0,0,0,0,0,1,0,0,1,1,47.3
48,13,0,0,0,0,0,0,1,0,1,4,2,1,0,0,0,0,0,1,7,3,4,4,4,4,4,3,1,20,0,0,1,0,1,0,0,0,0,0,1,1,48.3
49,9,0,1,0,0,0,0,0,0,1,7,1,0,0,1,0,0,0,1,7,3,5,7,7,7,6,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,49.3
50,9,0,0,1,0,0,0,1,0,1,7,1,0,0,0,0,1,0,1,7,1,7,7,7,7,7,3,1,35,0,0,0,1,0,0,0,1,0,1,0,1,50.3
51,10,0,0,1,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,7,2,5,5,6,4,5,3,1,20,0,1,0,0,0,0,0,1,1,0,0,1,51.3
52,10,0,1,1,0,0,0,1,0,2,5,2,1,0,0,0,0,0,1,7,2,7,7,7,7,7,3,0,20,0,0,1,0,1,0,0,0,1,0,0,1,52.3
53,9,0,1,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,1,7,2,5,5,7,1,2,3,0,15,0,0,0,1,0,1,0,0,0,0,1,1,53.3
54,13,0,0,0,0,0,0,1,0,2,7,2,1,0,0,0,0,0,1,7,4,5,4,4,5,4,3,1,30,0,1,0,0,0,0,0,1,0,0,1,1,54.3
55,13,0,0,1,0,0,0,0,0,3,7,1,1,0,0,0,0,0,1,5,3,0,0,5,0,0,3,1,20,0,0,0,1,1,0,0,0,1,0,0,1,55.3
56,14,0,1,0,0,0,0,0,0,1,7,2,0,0,1,0,0,0,1,7,3,0,0,7,0,0,3,0,25,0,1,0,0,0,0,0,1,1,0,0,1,56.3
57,13,0,1,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,1,0,2,6,5,6,7,7,3,1,15,0,1,0,0,0,1,0,0,0,1,0,1,57.3
58,9,0,1,0,0,0,0,0,0,1,7,1,1,0,0,0,1,0,1,6,2,6,6,6,5,5,3,1,15,0,0,0,1,0,0,1,0,0,1,0,1,58.3
59,14,0,1,1,0,0,0,0,0,1,7,2,1,0,0,0,0,0,1,5,2,5,3,5,5,5,3,1,20,0,0,1,0,0,1,0,0,1,0,0,1,59.3
60,15,0,1,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,1,6,1,6,6,5,5,5,3,1,10,0,0,0,1,0,0,0,1,1,0,0,1,60.3
61,9,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,1,0,1,7,2,5,5,7,7,7,3,1,0,1,0,0,0,0,0,0,1,0,1,0,1,61.3
62,13,0,0,0,0,0,1,0,0,2,6,2,1,0,0,0,0,0,1,7,2,6,5,6,6,7,3,1,0,0,0,0,1,0,0,0,1,0,1,0,1,62.3
63,15,0,0,0,1,0,0,0,0,1,5,2,0,1,0,0,0,0,1,6,3,5,7,7,7,4,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,63.3
64,14,0,0,0,0,0,1,0,0,1,7,2,1,0,0,0,0,0,1,6,3,2,5,7,6,2,3,0,20,0,1,0,0,0,0,0,1,0,1,0,1,64.3
65,13,0,0,1,0,0,0,0,0,2,5,2,1,0,0,0,0,0,1,5,3,0,4,7,7,0,3,1,0,0,0,1,0,0,0,1,0,0,1,0,1,65.3
66,14,0,0,0,1,0,0,0,0,2,7,2,0,0,0,1,0,0,1,0,3,3,3,7,7,1,3,1,30,1,0,0,0,0,0,0,1,0,1,0,1,66.3
67,15,0,0,0,0,0,0,1,0,1,7,2,0,0,1,1,0,0,1,7,4,0,0,5,4,4,3,1,5,0,1,0,0,0,1,0,0,0,1,0,1,67.3
68,15,0,0,0,0,0,0,0,0,2,7,2,1,0,0,0,0,0,1,7,3,3,5,6,6,7,3,0,0,0,0,1,0,0,1,0,0,1,0,0,1,68.3
69,9,0,1,1,0,0,0,0,0,2,5,1,1,0,0,0,0,0,1,0,3,0,2,4,5,6,3,0,20,0,1,0,0,1,0,0,0,0,1,0,1,69.3
70,14,0,0,0,0,0,0,0,1,2,5,2,1,0,0,0,0,0,1,7,4,0,7,7,7,7,3,0,15,0,0,0,1,0,1,0,0,1,0,0,1,70.3
71,9,0,0,1,1,0,0,0,0,1,6,2,0,0,0,0,0,1,1,0,3,7,7,7,7,7,3,1,10,1,0,0,0,0,0,0,1,0,0,1,1,71.3
72,15,0,0,0,0,0,0,1,0,2,7,2,1,0,0,0,1,0,1,0,3,2,5,3,5,3,3,1,25,0,0,0,1,0,1,0,0,0,1,0,1,72.3
73,9,0,0,0,1,0,0,1,0,1,7,2,0,0,0,1,0,0,1,7,3,5,5,7,7,7,3,1,0,1,0,0,0,0,1,0,0,0,0,1,1,73.3
74,14,0,1,0,0,0,0,0,0,2,7,2,0,0,1,0,0,0,1,0,3,7,7,7,0,3,3,0,25,1,0,0,0,0,1,0,0,1,0,0,1,74.3
75,13,0,0,1,0,0,0,0,0,2,6,2,0,0,1,1,0,0,1,6,3,2,2,2,5,0,3,1,30,0,0,0,1,0,1,0,0,0,0,1,1,75.3
76,9,0,0,0,0,0,0,1,0,2,7,2,1,0,0,0,0,0,1,7,3,4,5,6,6,5,3,1,20,0,0,0,1,0,0,1,0,0,1,0,1,76.3
77,10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,1,10,1,0,0,0,0,0,0,1,1,0,0,1,77.3
78,15,0,0,1,0,0,0,0,0,2,7,2,1,0,0,0,0,0,1,7,3,4,5,7,7,4,3,1,0,0,1,0,0,0,0,1,0,1,0,0,1,78.3
79,13,0,0,0,0,1,0,0,0,2,5,2,1,0,0,0,0,0,1,6,3,6,5,7,7,5,3,0,0,0,1,0,0,1,0,0,0,0,1,0,1,79.3
80,15,0,0,0,0,1,0,0,0,1,5,2,0,0,0,0,0,0,1,7,3,4,3,5,2,5,3,1,5,0,0,0,1,0,0,1,0,0,1,0,1,80.3
81,14,0,1,0,0,0,0,0,1,2,7,2,1,0,0,0,0,0,1,7,4,1,1,3,7,3,3,1,15,1,0,0,0,0,1,0,0,1,0,0,1,81.3
82,10,0,1,0,0,0,0,0,0,1,7,2,1,0,0,0,0,0,1,7,3,3,4,5,2,5,3,0,0,0,0,1,0,0,1,0,0,1,0,0,1,82.3
83,15,0,1,0,0,0,0,0,0,2,5,2,1,0,0,0,0,1,1,5,3,5,6,5,4,3,3,1,20,0,0,0,1,0,0,1,0,0,0,1,1,83.3
84,13,0,1,0,0,0,0,0,0,2,7,2,1,0,0,0,0,0,1,7,3,5,5,7,7,7,3,1,30,0,0,0,1,0,0,0,1,0,0,1,1,84.3
85,15,0,0,0,0,0,0,1,0,1,6,2,1,0,0,0,0,0,1,7,3,5,5,7,5,7,3,1,0,0,0,1,0,0,1,0,0,1,0,0,1,85.3
86,8,0,0,0,0,0,0,1,0,1,3,1,0,1,1,0,0,0,1,5,1,6,3,7,5,5,3,0,30,1,0,0,0,0,0,0,1,0,1,0,1,86.3
87,8,0,0,0,0,0,0,1,0,2,3,1,0,1,1,0,0,0,1,7,1,2,2,6,5,4,3,0,10,1,0,0,0,1,0,0,0,0,0,1,1,87.3
88,14,0,0,0,0,0,1,1,0,2,2,2,1,0,0,0,0,0,1,6,2,3,3,4,4,4,3,1,10,1,0,0,0,0,1,0,0,1,0,0,1,88.3
89,15,0,0,1,0,0,0,0,0,2,5,2,1,0,0,0,0,0,1,7,3,7,5,7,7,7,3,1,0,0,0,0,1,1,0,0,0,1,0,0,1,89.3
90,8,0,0,1,0,0,0,0,0,2,3,1,0,0,0,0,1,0,1,6,2,5,2,7,6,4,3,1,20,0,1,0,0,1,0,0,0,0,0,1,1,90.3
91,13,0,0,1,0,0,0,0,0,2,7,2,1,0,0,0,0,0,1,7,3,3,0,5,5,5,3,1,10,0,0,0,1,1,0,0,0,1,0,0,1,91.3
92,13,0,0,1,0,0,0,1,0,3,7,2,1,0,0,0,0,0,1,7,3,6,7,6,6,7,3,1,0,1,0,0,0,0,0,1,0,0,1,0,1,92.3
93,14,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,1,7,2,4,4,6,6,4,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1,93.3
94,9,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,7,1,6,7,7,7,7,3,0,10,0,0,0,1,0,0,0,1,0,0,1,1,94.3
95,10,0,0,0,0,1,0,0,1,3,2,2,1,0,0,0,0,0,1,7,1,5,4,7,7,7,3,1,0,0,0,1,0,0,1,0,0,1,0,0,1,95.3
96,9,0,1,0,0,0,0,0,0,1,7,2,0,0,1,0,0,0,1,7,2,7,7,7,7,7,3,1,20,0,0,1,0,0,0,0,1,1,0,0,1,96.3
97,15,0,0,0,1,0,0,0,0,2,4,2,1,0,0,0,0,0,1,7,3,7,7,7,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,1,97.3
98,14,0,0,0,0,0,0,1,0,1,7,1,1,0,0,0,0,0,1,7,1,5,4,5,5,5,3,1,10,1,0,0,0,1,0,0,0,1,0,0,1,98.3
99,14,0,1,0,0,0,0,1,0,1,7,2,1,0,0,0,0,0,1,7,4,7,5,7,7,7,3,1,30,0,0,0,1,1,0,0,0,0,1,0,1,99.3
100,15,0,0,0,1,0,0,0,0,2,7,2,1,0,0,0,0,1,1,7,4,7,7,7,7,7,3,0,0,0,1,0,0,0,0,1,0,1,0,0,1,100.3
101,9,0,1,0,0,0,0,0,0,2,7,4,1,0,0,0,1,0,1,7,2,5,6,7,6,7,3,1,15,0,0,0,1,1,0,0,0,0,1,0,1,101.3
102,15,0,0,0,0,1,0,0,0,2,7,2,1,0,0,1,0,0,1,7,3,6,6,7,7,7,3,1,0,0,0,1,0,0,1,0,0,0,0,1,1,102.3
103,13,0,0,0,0,1,1,0,0,2,5,1,1,0,0,0,0,0,1,7,2,7,7,7,6,7,3,1,10,0,0,1,0,0,0,1,0,0,1,0,1,103.3
104,9,0,0,0,0,0,1,0,0,2,3,1,1,0,0,0,0,0,1,7,2,4,7,7,7,4,3,1,20,0,1,0,0,0,0,1,0,0,1,0,1,104.3
105,13,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,1,7,2,7,7,7,7,7,3,1,0,0,1,0,0,0,0,1,0,0,0,1,1,105.3
106,10,0,1,0,0,0,0,0,0,2,7,2,0,0,1,1,0,0,1,5,3,6,5,7,7,7,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,106.3
107,8,0,0,0,0,0,0,1,0,1,3,1,0,1,0,0,0,0,1,7,1,3,7,7,5,2,3,1,20,0,0,1,0,0,0,1,0,0,0,1,1,107.3
108,10,0,0,1,0,0,0,0,0,3,7,2,0,0,1,0,0,0,1,6,3,1,4,4,3,3,3,0,25,0,0,1,0,1,0,0,0,0,0,1,1,108.3
109,10,0,0,1,0,0,0,0,0,1,5,1,1,0,0,0,0,0,1,6,3,5,5,6,3,3,3,1,20,0,0,1,0,0,0,0,1,1,0,0,1,109.3
110,8,0,1,1,0,0,0,0,0,2,7,1,1,0,0,0,0,0,1,7,4,4,7,7,7,7,3,0,20,0,0,0,1,0,0,0,1,1,0,0,1,110.3
111,13,0,0,1,0,0,0,0,0,1,3,2,1,0,0,0,0,0,1,7,2,5,5,5,5,5,3,1,20,0,1,0,0,0,0,1,0,0,1,0,1,111.3
112,8,0,1,0,0,0,0,0,0,3,7,1,1,0,0,0,0,0,1,7,3,4,6,7,5,7,3,1,30,0,0,1,0,0,0,1,0,0,1,0,1,112.3
113,15,0,1,0,0,0,0,1,0,2,7,2,1,0,0,0,0,0,1,7,3,5,2,7,7,5,3,0,20,1,0,0,0,1,0,0,0,0,1,0,1,113.3
114,9,0,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,7,1,5,4,5,6,5,3,1,5,1,0,0,0,0,0,1,0,0,1,0,1,114.3
115,13,0,0,1,0,0,0,0,0,3,2,1,0,1,0,0,0,0,1,7,1,7,7,7,7,7,3,0,20,0,0,1,0,0,1,0,0,1,0,0,1,115.3
116,14,0,0,0,0,1,0,0,0,1,5,2,0,1,0,0,0,0,1,7,1,3,3,4,7,7,3,1,30,1,0,0,0,0,0,0,1,0,1,0,1,116.3
117,10,0,0,0,0,1,0,0,0,1,7,2,0,1,0,0,0,0,1,6,3,1,1,1,1,1,3,0,20,0,0,0,1,0,0,1,0,0,0,1,1,117.3
118,10,0,0,0,1,0,0,0,0,2,6,2,0,1,0,0,0,0,1,7,3,2,4,4,5,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,118.3
119,15,0,1,0,0,0,0,1,0,2,7,2,0,1,0,0,0,0,1,6,2,3,3,7,3,5,3,0,0,0,0,1,0,0,0,1,0,0,0,1,1,119.3
120,10,0,0,1,0,0,0,0,0,1,6,2,0,1,0,0,0,0,1,6,2,1,1,1,5,4,3,1,0,0,0,1,0,1,0,0,0,1,0,0,1,120.3
121,10,0,1,0,0,0,0,0,0,1,7,2,0,1,0,0,0,0,1,5,2,5,4,5,2,2,3,0,10,0,0,1,0,0,0,1,0,0,1,0,1,121.3
122,15,0,0,0,0,0,1,0,0,2,6,1,0,0,1,0,0,0,1,7,1,6,6,6,6,7,3,0,10,0,0,1,0,0,0,1,0,0,1,0,1,122.3
123,13,0,1,0,0,0,0,0,0,1,7,2,0,1,0,0,0,0,1,7,3,7,7,7,7,7,3,1,0,0,0,1,0,0,0,0,1,1,0,0,1,123.3
124,14,0,1,0,1,0,0,0,0,1,7,4,1,0,0,0,0,0,1,7,3,0,7,7,7,4,3,1,20,0,1,0,0,1,0,0,0,1,0,0,1,124.3
125,15,0,0,1,0,0,0,0,0,1,7,2,1,0,0,0,0,0,1,6,4,3,4,4,6,4,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1,125.3
126,15,0,0,0,0,1,0,0,0,2,7,2,0,0,1,1,0,0,1,7,3,7,4,7,7,4,3,0,10,0,1,0,0,0,1,0,0,0,0,1,1,126.3
127,10,0,0,0,0,0,0,1,0,1,5,1,0,1,0,0,0,0,1,6,2,2,2,3,5,6,3,0,10,0,1,0,0,0,0,1,0,0,0,1,1,127.3
128,9,0,0,0,1,0,0,0,0,1,7,1,0,1,0,0,1,0,1,7,1,7,7,6,7,7,3,0,10,0,1,0,0,0,0,0,1,0,0,1,1,128.3
131,13,0,0,1,0,0,1,0,0,2,7,2,1,0,0,0,0,0,1,7,2,5,5,5,7,5,3,1,20,0,0,1,0,1,0,0,0,0,1,0,1,131.3
132,8,0,0,1,0,0,0,0,0,2,4,2,1,0,0,0,0,0,1,7,1,6,7,7,6,6,3,1,0,0,0,1,0,0,0,1,0,0,1,0,1,132.3
133,8,0,0,1,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,7,3,5,4,7,5,5,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,133.3
134,15,0,0,0,0,0,0,0,1,1,4,4,1,0,0,0,0,0,1,5,2,7,7,7,7,7,3,1,25,1,0,0,0,0,0,0,1,1,0,0,1,134.3
135,13,0,1,0,0,0,0,0,0,1,7,2,1,0,0,0,0,0,1,7,1,5,5,4,6,4,3,1,0,0,1,0,0,0,0,0,1,0,0,1,1,135.3
136,13,0,0,0,0,0,0,1,0,1,7,2,0,0,1,1,0,0,1,7,3,2,2,4,5,6,3,0,35,0,0,0,1,0,0,1,0,1,0,0,1,136.3
137,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,5,1,5,6,6,4,4,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,137.3
138,10,0,0,0,1,0,0,0,0,2,5,1,1,0,0,0,0,0,1,7,1,4,3,4,5,6,3,1,0,1,0,0,0,0,0,0,1,0,0,1,1,138.3
139,13,0,0,0,0,0,0,1,0,1,6,2,1,0,0,0,0,0,1,7,4,2,3,4,7,1,3,0,10,1,0,0,0,0,0,0,1,1,0,0,1,139.3
140,15,0,0,0,1,0,0,0,0,2,5,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,1,140.3
141,9,0,0,0,0,0,1,0,0,2,5,1,1,0,0,0,1,0,1,7,2,6,7,7,7,7,3,0,20,0,1,0,0,0,0,1,0,0,0,1,1,141.3
142,15,0,0,0,0,0,0,1,0,3,3,2,1,0,0,0,0,0,1,7,3,4,5,5,5,5,3,0,10,0,0,0,1,0,0,1,0,1,0,0,1,142.3
143,10,0,0,0,0,0,0,1,0,2,3,2,0,1,0,0,0,0,1,6,2,7,7,7,7,7,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1,143.3
144,9,0,1,1,0,0,0,0,0,1,5,2,1,0,0,0,0,0,1,7,3,1,3,7,7,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,144.3
145,14,0,0,1,0,0,0,0,0,2,4,4,1,0,0,0,0,0,1,7,3,5,0,7,7,7,3,0,35,0,0,0,1,0,1,0,0,1,0,0,1,145.3
146,10,0,0,0,0,0,0,1,0,2,6,2,1,0,0,0,0,0,1,7,3,4,4,6,7,4,3,1,35,1,0,0,0,0,0,1,0,0,1,0,1,146.3
147,15,0,1,0,0,1,0,1,0,3,6,2,0,0,1,0,0,0,1,0,3,4,3,3,0,3,3,0,20,0,0,0,1,1,0,0,0,0,0,1,1,147.3
148,13,0,1,0,0,0,0,0,0,1,7,2,0,0,0,0,1,1,1,7,3,7,6,6,6,6,3,1,0,1,0,0,0,0,1,0,0,0,1,0,1,148.3
149,9,0,0,0,1,0,0,0,1,1,3,2,0,0,0,0,1,0,1,1,1,1,1,0,0,7,3,1,0,0,1,0,0,0,0,0,1,1,0,0,1,149.3
150,14,0,1,0,0,0,0,0,0,3,7,2,0,0,1,0,0,0,1,4,1,6,5,6,5,6,3,1,20,0,1,0,0,0,0,0,1,1,0,0,1,150.3
151,10,0,0,1,0,0,0,0,0,2,7,2,0,0,0,0,0,1,1,5,2,6,6,6,6,6,3,0,5,1,0,0,0,0,0,0,1,1,0,0,1,151.3
152,9,0,0,1,0,0,0,0,0,2,5,1,1,1,0,0,0,0,1,6,4,2,7,5,5,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,152.3
153,9,0,0,1,0,0,0,0,0,1,5,1,0,0,1,0,0,0,1,7,1,3,3,5,3,5,3,1,15,0,0,1,0,1,0,0,0,1,0,0,1,153.3
154,9,0,1,0,0,0,0,0,0,2,7,2,0,1,0,0,0,1,1,7,1,7,7,7,7,7,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,154.3
155,14,0,0,1,0,0,0,0,1,2,7,2,0,0,1,0,0,0,1,4,3,0,5,4,7,6,3,1,35,0,1,0,0,1,0,0,0,0,1,0,1,155.3
156,15,0,1,0,0,0,0,0,0,2,7,2,0,0,0,0,0,1,1,5,3,5,6,6,7,6,3,1,30,0,1,0,0,0,1,0,0,1,0,0,1,156.3
157,15,0,0,0,0,1,0,0,0,2,5,2,0,0,1,0,0,0,1,5,3,4,5,6,6,6,3,0,5,0,1,0,0,0,1,0,0,0,1,0,1,157.3
158,14,0,0,0,0,1,0,0,1,2,7,2,0,1,0,0,0,0,1,5,2,7,4,5,5,5,3,0,10,0,0,1,0,0,0,1,0,0,1,0,1,158.3
159,10,0,0,1,0,0,0,0,0,2,4,2,0,0,0,0,0,1,1,0,1,0,4,5,4,5,3,1,30,0,0,0,1,1,0,0,0,0,0,1,1,159.3
